Statistics 2024-11-01,01:14:52
#Lines:              18973333
#Entries:            20985
#Datasets:           141023
#Corrected Datasets: 11058
#Covariance Data:    0
#Data points:        11688776
#Datasets by MF:
  71643 #MF:3
  28901 #MF:4
   9831 #MF:402
   7649 #MF:6
   2499 #MF:2
   2450 #MF:213
   2267 #MF:203
   1945 #MF:104
   1651 #MF:606
   1351 #MF:5
   1303 #MF:801
   1227 #MF:403
   1163 #MF:8
   1094 #MF:154
    939 #MF:1
    776 #MF:7
    677 #MF:13
    484 #MF:604
    424 #MF:208
    326 #MF:405
    297 #MF:802
    259 #MF:14
    249 #MF:204
    248 #MF:603
    230 #MF:608
    177 #MF:401
    166 #MF:223
    151 #MF:201
     97 #MF:53
     82 #MF:206
     77 #MF:15
     51 #MF:601
     46 #MF:613
     46 #MF:602
     42 #MF:614
     40 #MF:803
     39 #MF:205
     38 #MF:404
     26 #MF:57
     22 #MF:605
     19 #MF:202
      5 #MF:423
      4 #MF:615
      4 #MF:54
      3 #MF:852
      3 #MF:658
      1 #MF:805
      1 #MF:413
